0,1,2,3,4,5,6,7,8,9,10,11
16,"But they will also see the work of the woman who inspired Mr. Martin 's tale in the first place : the artist Allyson Hollingsworth , who created the photographs and drawings attributed to Ms. Danes 's character , Mirabelle Buttersfield , and who also served as a consultant on the film .",no_relation,Ms. Danes,Mirabelle Buttersfield,PER,PER,16-1,16-2," 's character , ",2,"[35, 37, 40]"
17,But he fully supported deployment of American warships in the Persian Gulf and lobbied Congress on behalf of the Nicaraguan rebels .,no_relation,American,Congress,LOC,MISC,17-1,17-2, warships in the Persian Gulf and lobbied ,6,"[6, 7, 5, 4, 3, 13, 14]"
18,"`` The pattern is pretty much the same across the nation , '' said Kris Knapton , a spokesman for Metra , a commuter rail  service in northeastern Illinois .",commuter rail service,Metra,Illinois,MISC,ORG,18-1,18-2," , a commuter rail  service in northeastern ",3,"[21, 27, 28, 30]"
19,"Elizabeth Tarleton Cowen , the daughter of Julia Parker Bell and Peter Donnelly Cowen , both of Newton , Mass. , was married yesterday to Peter Dierks Sutherland , the son of Cindy and Dwight Dierks Sutherland Jr. of Mission Hills , Kan.",no_relation,Dwight Dierks Sutherland Jr.,Kan.,PER,MISC,19-1,19-2," of Mission Hills , ",5,"[37, 32, 38, 40, 41, 42]"
20,"Calls for democratic safeguards against Beijing have grown in Hong Kong since June 1989 , when China used troops to crush its own pro-democracy movement .",no_relation,Hong Kong,China,LOC,NONE,20-1,20-2," since June 1989 , when ",6,"[10, 8, 7, 11, 12, 17, 16]"
21,A report released earlier this year by the David and Lucile Packard Foundation 's Center for the Future of Children emphasized the long-term educational and economic gains of good early-childhood programs .,no_relation,Lucile Packard Foundation,Future of Children,ORG,MISC,21-1,21-2, 's Center for the ,5,"[12, 14, 15, 17, 18, 19]"
22,"Sheldon Silver , the Assembly speaker , said today that there would be no state budget this year until the Pataki administration commits to building the Second Avenue subway the full length of Manhattan , and to a big increase in the state 's contribution to the project 's cost .",no_relation,Second Avenue,Manhattan,MISC,PER,22-1,22-2, subway the full length of ,5,"[27, 28, 24, 31, 32, 33]"
23,"Mr. Zhou 's comments represent a potentially important shift in Beijing 's approach to the talks , which China has sought to keep afloat despite scant evidence of progress .",no_relation,Mr. Zhou,Beijing,PER,NONE,23-1,23-2, 's comments represent a potentially important shift in ,6,"[1, 3, 4, 8, 9, 12, 10]"
24,"And because Glasgow is compact and well served by public transport , Thomson 's most important buildings are easily visited on your own in three excursions , ideally spread out over two days : in the city center between Sauchiehall and Argyle Streets ; in the Victorian suburbs south of the Clyde , and on the terraces along the Great Western Road .",no_relation,Victorian,Clyde,PER,LOC,24-1,24-2, suburbs south of the ,4,"[46, 47, 48, 49, 51]"
25,"Judge Duffy and Judge Roberts also affirmed the convictions for the deaths of Laertes , Rosencrantz and Guildenstern .",affirmed convictions affirmed convictions,Judge Duffy,Judge Roberts,PER,PER,25-1,25-2, and ,1,"[1, 4]"
26,"Carol O'Cleireacain , a senior fellow at the Brookings Institution , is former budget director for New York City .",senior fellow,Carol O'Cleireacain,Brookings Institution,PER,ORG,26-1,26-2," , a senior fellow at the ",3,"[1, 5, 6, 9]"
27,"Amy Elizabeth Brownfeld , a daughter of Mr. and Mrs. Fred Brownfeld of Paradise Valley , Ariz. , was married in Phoenix last evening to David Timmins Fannon , a son of Mr. and Mrs. William F. Fannon of Upper Montclair , N.J. , and Sanibel , Fla. .",no_relation,Mrs. Fred Brownfeld,Phoenix,PER,LOC,27-1,27-2," of Paradise Valley , Ariz. , was married in ",7,"[11, 6, 5, 2, 18, 19, 20, 21]"
28,"At the veterans hospital in Wilmington , a spokeswoman , Barbara Howell , said Dr. Durakovic 's employment ended because '' we did not need a full-time nuclear medicine physician . ''",no_relation,Wilmington,Barbara Howell,LOC,PER,28-1,28-2," , a spokeswoman , ",2,"[5, 8, 11]"
29,"National League HOUSTON ASTROS -- Assigned RHP Kirk Saarloos , RHP Miguel Saladin , RHP Jonathan Johnson , RHP Anthony Telford , and LHP Ken Vining to New Orleans of the PCL .",no_relation,RHP Miguel Saladin,RHP Jonathan Johnson,PER,PER,29-1,29-2," , ",1,"[12, 16]"
30,"In 1998 , The Boston Globe featured Dr. Abuzzahab in a front-page article questioning the safety of psychiatric drug experiments .",featured,Boston Globe,Dr. Abuzzahab,ORG,PER,30-1,30-2, featured ,2,"[5, 6, 8]"
31,"Burial today at the Jewish Community Cemetery , Berlin , Germany .",no_relation,Jewish Community Cemetery,"Berlin , Germany",ORG,LOC,31-1,31-2," , ",2,"[6, 8, 10]"
32,"Susan Watkins Rausen , a daughter of Dr. and Mrs. Aaron R. Rausen of New York , was married yesterday to Alfred Herman Ahrens Drewes , the son of Marjorie E. Morgan of Englewood , N.J. , and the late Alfred H. Drewes .",no_relation,New York,Alfred Herman Ahrens Drewes,PER,PER,32-1,32-2," , was married yesterday to ",8,"[15, 13, 12, 6, 5, 2, 18, 20, 24]"
33,Blake 's opening match against Nadal will take place Monday .,match,Blake,Nadal,PER,PER,33-1,33-2, 's opening match against ,3,"[0, 3, 4, 5]"
34,"Another character , the Robber Daughter , and her mother plot to `` kill '' Gerda -LRB- a light moment with dark undertones , which may make some children shudder -RRB- .",no_relation,Robber Daughter,Gerda,PER,PER,34-1,34-2," , and her mother plot to `` kill '' ",3,"[5, 1, 14, 16]"
35,Katie and Dee Dee and Rashidat and Myia and Brittany and Heather .,no_relation,Rashidat,Heather,ORG,PER,35-1,35-2, and Myia and Brittany and ,3,"[5, 7, 9, 11]"
36,"And there are his clients Timmy and Mark Rothko -LRB- who got his name when he shoved a classmate into a painting by the real Mark Rothko at the Metropolitan Museum of Art -RRB- , two would-be Eminems who like to dress and talk black .",no_relation,Timmy,Mark Rothko,MISC,PER,36-1,36-2, and ,1,"[5, 8]"
37,"LEAD : George E. Shibley , a lawyer who represented Sirhan Sirhan in appeals of his conviction for the assassination of Robert F. Kennedy , died Tuesday .",no_relation,Sirhan Sirhan,Robert F. Kennedy,PER,MISC,37-1,37-2, in appeals of his conviction for the assassination of ,9,"[11, 9, 12, 13, 14, 16, 17, 19, 20, 23]"
38,"If Glazer is sitting in Florida , wondering about the ferocious hostility in Manchester , he would do well to review this history .",sitting,Glazer,Florida,PER,LOC,38-1,38-2, is sitting in ,3,"[1, 3, 4, 5]"
39,"Barry Rothfuss of Peekskill , a hardware-store manager , is running against the Republican incumbent , Timothy S. Carey of Peekskill .",no_relation,Timothy S. Carey,Peekskill,PER,ORG,39-1,39-2,,4,"[20, 12, 1, 2, 3]"
40,"But it is likely to add fuel to a continuing debate in Congress over whether the services , particularly the Air Force and Army , are being overused overseas , as Mr. Bush often asserted in last year 's campaign .",no_relation,Congress,Air Force and Army,MISC,ORG,40-1,40-2," over whether the services , particularly the ",7,"[12, 11, 10, 13, 27, 16, 21, 23]"
41,"Op-Ed Contributor Harold Schechter , a professor of English at Queens College , is the author of the forthcoming book '' The Devil 's Gentleman : Privilege , Power , and the Trial that Ushered in the Twentieth Century . ''",no_relation,Gentleman,Power,MISC,NONE,41-1,41-2," : Privilege , ",2,"[26, 28, 30]"
42,"Finally , St. John 's will get immediate help from its incoming freshmen , especially from the McDonald 's all-American Elijah Ingram and forward Tim Doyle .",no_relation,all-American,Elijah Ingram,MISC,PER,42-1,42-2, ,1,"[21, 23]"
43,"`` Frankly , '' said Nelson C. Garcia , who is president of the House Legislative Assistants Association and an aide to Representative Ken Calvert , Republican of California , `` as long as there is a Republican environment up here , the likelihood of unions here is pretty small . ''",no_relation,House Legislative Assistants Association,Ken Calvert,ORG,PER,43-1,43-2, and an aide to Representative ,5,"[18, 13, 12, 21, 22, 25]"
44,"The problem occurred when a pipe carrying drinking water was mistakenly connected to a system carrying unchlorinated well water used in industrial operations , Becky Apter , a spokeswoman for the Westinghouse Savannah River Company , the Westinghouse Electric subsidiary that operates the plant for the Federal Government , said Tuesday .",no_relation,Becky Apter,Westinghouse Savannah River Company,PER,ORG,44-1,44-2," , a spokeswoman for the ",3,"[25, 28, 29, 34]"
45,"'' We ourselves are less observant Jews , but we are still very culturally Jewish , '' Mr. Steingart of Jewcy said .",no_relation,Jews,Jewish,MISC,MISC,45-1,45-2," , but we are still very culturally ",3,"[6, 3, 10, 14]"
46,"In BIRD , KANSAS -LRB- Avon , $ 8.95 -RRB- , Tony Parker , a British writer , studies the inhabitants of a small Midwestern town .",writer,Tony Parker,British,PER,LOC,46-1,46-2," , a ",2,"[12, 16, 15]"
47,"Dominique Portet came to Australia by way of Bordeaux , where his father was technical director of Chateau Lafite-Rothschild , and California , where his brother Bernard runs Clos du Val in the Napa Valley .",no_relation,California,Bernard,LOC,MISC,47-1,47-2," , where his brother ",3,"[23, 29, 27, 28]"
48,"Her mother is the executive vice president of Orchard Management , a mango grower and distributor in Santa Isabel , P.R.",no_relation,Orchard Management,Santa Isabel,MISC,LOC,48-1,48-2," , a mango grower and distributor in ",3,"[9, 13, 16, 18]"
49,"Shiva will be observed at 18-75 Corporal Kennedy Street , Apt .",observed,Shiva,Corporal Kennedy Street,MISC,ORG,49-1,49-2, will be observed at 18-75 ,3,"[0, 3, 4, 10]"
50,"It has included celebrity interviews and bylined stories -LRB- Cyndi Lauper , the singer , expresses a desire to experience motherhood , whether or not she gets married ; John Vanbiesbrouck , the Rangers goalie , who is married , extols the virtues of fatherhood -RRB- , poetry and prose by homeless people -LRB- Unlike the other contributors , they are paid $ 50 for each published contribution -RRB- and articles by real-estate executives .",no_relation,John Vanbiesbrouck,Rangers,PER,MISC,50-1,50-2," , the ",2,"[30, 34, 33]"
51,"Ms. Sena said she asked the Parks Department to round up the dogs shortly after her dog was attacked , but got no response .",no_relation,Ms. Sena,Parks Department,PER,ORG,51-1,51-2, said she asked the ,3,"[1, 2, 4, 7]"
53,"NATO troops , in moves that have antagonized many Serbs , have seized police stations in towns in the western part of Serbian-controlled Bosnia and installed police officers who have pledged loyalty to Ms. Plavsic .",no_relation,NATO,Serbs,ORG,LOC,53-1,53-2," troops , in moves that have antagonized many ",5,"[0, 1, 3, 4, 7, 9]"
54,Holyfield holds the W.B.A. and International Boxing Federation titles .,holds titles,Holyfield,International Boxing Federation,PER,ORG,54-1,54-2, holds the W.B.A. and ,4,"[0, 1, 8, 3, 7]"
55,"Mark Bartelstein , Grant 's agent , has been pushing for that deal , and the Knicks spoke with him yesterday after learning that Grant had balked at going to Cleveland .",no_relation,Mark Bartelstein,Grant,PER,PER,55-1,55-2," , ",2,"[1, 5, 3]"
56,"Expelled at the Burmese border , he immediately returned to Bangkok .",no_relation,Burmese,Bangkok,LOC,LOC,56-1,56-2," border , he immediately returned to ",6,"[3, 4, 1, 0, 8, 9, 10]"
57,"For the next two weeks , New York has something it may never have again : a small , unpretentious single-artist museum devoted to the achievements of the Minimalist sculptor Donald Judd .",no_relation,Minimalist,Donald Judd,MISC,PER,57-1,57-2, sculptor ,2,"[30, 31, 33]"
58,The White House is spinning this week 's meeting between President Bush and the Congressional Black Caucus as proof that Mr. Bush is mending fences with a black electorate that is still seething over the election irregularities in Florida .,no_relation,Congressional Black Caucus,Mr. Bush,ORG,PER,58-1,58-2, as proof that ,8,"[16, 11, 9, 8, 4, 17, 18, 23, 21]"
59,"TRACK Reynolds and Morceli Gain Victories Butch Reynolds , the world 400-meter record-holder who failed to make the Olympic team after a protracted legal battle with the International Amateur Athletic Federation left him exhausted at the United States trials , continued his strong showing in the indoor season by winning his second 400 in three days yesterday at the Mobil 1 Invitational in Fairfax , Va.",no_relation,Invitational,Va.,MISC,LOC,59-1,59-2," in Fairfax , ",4,"[63, 64, 65, 66, 67]"
60,"The United States and several of its allies on Monday asked the United Nations Secretary General , Javier Perez de Cuellar , to send a team to Iraq and Turkey to investigate the charges .",no_relation,United States,United Nations,LOC,ORG,60-1,60-2, and several of its allies on Monday asked the ,3,"[2, 10, 15, 13]"
61,"In 1976 , the New York City Ballet dancer Jacques d'Amboise began exposing New York City children to dance as one activity that could help keep them off the streets .",no_relation,New York City Ballet,New York City,MISC,PER,61-1,61-2,,1,"[7, 6]"
62,"'' Betsy knew we were going to put out this guide , '' Mr. Klein said , standing beside Mayor Michael R. Bloomberg at Public School 49 in Middle Village , Queens .",no_relation,Michael R. Bloomberg,"Middle Village , Queens",PER,LOC,62-1,62-2, at Public School 49 in ,5,"[22, 18, 17, 27, 29, 31]"
63,"Mr. Lee is survived by his wife , Ellen Griffin Lee ; two daughters , Sarah A. Lee and Tara Lee Croke ; and a son , David Lee .",no_relation,Sarah A. Lee,Tara Lee Croke,PER,PER,63-1,63-2, and ,1,"[17, 21]"
64,"In addition to the Round Valley , they are the Oradell in Bergen County , the Wanaque in Passaic County , the Boonton and Charlottesburg in Morris County , the Manasquan , the Glendola , and the Swimming River in Monmouth County , and the Doughty , in Atlantic County .",no_relation,Monmouth County,Doughty,LOC,PER,64-1,64-2," , and the ",3,"[41, 39, 38, 45]"
65,"Ranit Schmelzer , a spokeswoman for Mr. Daschle , said that the Democrats would insist on enforcing the `` two-hour rule '' -- a parliamentary device that allows them to limit the hearings to two hours whenever the Senate is in session .",spokeswoman,Ranit Schmelzer,Mr. Daschle,PER,PER,65-1,65-2," , a spokeswoman for ",3,"[1, 4, 5, 7]"
66,Analyses by researchers at the University of Nijmegen in the Netherlands and at the University of Cincinnati have shown that in women in their 40 's breast cancer typically progresses twice as fast as in older women from a microscopic lesion detectable only by mammography to a tumor large enough to be felt by an examining hand .,no_relation,University of Nijmegen,University of Cincinnati,ORG,ORG,66-1,66-2, in the Netherlands and at the ,7,"[7, 6, 5, 8, 12, 14, 15, 16]"
67,"In 1982 , delivery of cluster-bomb shells to Israel was suspended a month after Israel invaded Lebanon after the Reagan administration determined that Israel '' may '' have used them against civilian areas .",no_relation,Israel,Reagan,LOC,PER,67-1,67-2, was suspended a month after Israel invaded Lebanon after the ,8,"[10, 9, 8, 4, 3, 12, 23, 22, 21]"
68,"Apparently Mr. Coster had heard DEAN ANTHONY , an announcer on WHLI-AM , an easy-listening station on Long Island , say that Ms. Villante has turned her nine-day run at Arci 's into a benefit for the Long Island Radio Relief Fund to help victims ' families .",no_relation,DEAN ANTHONY,WHLI-AM,PER,ORG,68-1,68-2," , an announcer on ",3,"[6, 9, 10, 13]"
69,"Mr. Chretien said that the United States had not made any formal request for Canadian participation in the missile defense system : '' We believe , at the moment , the question is more hypothetical because of the problems the Americans have had on technology .",no_relation,United States,Canadian,LOC,LOC,69-1,69-2, had not made any formal request for ,5,"[6, 9, 12, 13, 15, 14]"
70,"Seven days later in Chicago , Catherine Ndereba of Kenya ran faster : 2:18:47 .",no_relation,Chicago,Kenya,LOC,LOC,70-1,70-2," , Catherine Ndereba of ",6,"[4, 3, 2, 10, 7, 8, 9]"
71,"Muhammad pointed to his son , Zidan , 3 . ''",no_relation,Muhammad,Zidan,PER,PER,71-1,71-2," pointed to his son , ",4,"[0, 1, 2, 4, 6]"
72,"When Kevin Parry , the financial backer for Australia 's Taskforce '87 syndicate , first became involved with the America 's Cup , he set out to find a name for his yacht .",no_relation,America,Cup,LOC,MISC,72-1,72-2, 's ,1,"[20, 22]"
73,"Max may be a purist about American studies , but he does n't seem to mind uttering banal dialogue .",no_relation,Max,American,PER,LOC,73-1,73-2, may be a purist about ,5,"[0, 2, 4, 5, 7, 6]"
74,"NO. 17 Directed by David Ofek ; in Hebrew , with English subtitles ; director of photography , Ron Rotem ; edited by Arik Lahav-Leibovitz ; music by Ophir Leibovitch ; produced by Edna and Elinor Kowarsky .",no_relation,Hebrew,English,MISC,LOC,74-1,74-2," , with ",4,"[9, 8, 11, 13, 12]"
76,She graduated from St. Lawrence University and received her law degree from the American University .,no_relation,St. Lawrence University,American University,ORG,ORG,76-1,76-2, and received her law degree from the ,5,"[5, 2, 1, 7, 11, 14]"
77,"But after a late caution flag , strategy cost Newman as he stayed on the track with worn tires and was passed by the Ford driver Greg Biffle of the Roush Racing team and others .",no_relation,Ford,Greg Biffle,MISC,PER,77-1,77-2, driver ,2,"[24, 25, 27]"
78,"Spiritualism itself had been born only three decades earlier , in Hydesville , N.Y. , near Rochester .",no_relation,Hydesville,N.Y.,LOC,LOC,78-1,78-2," , ",1,"[11, 13]"
79,The commanders insisted that this did not amount to an expansion of the special zone created last month to protect Kurdish refugees returning to northern Iraq .,no_relation,Kurdish,Iraq,LOC,LOC,79-1,79-2, refugees returning to northern ,5,"[20, 21, 19, 22, 23, 25]"
80,She married William Bartlett and is survived by her son Karl Bartlett of Mass.,no_relation,William Bartlett,Mass.,PER,MISC,80-1,80-2, and is survived by her son Karl Bartlett of ,6,"[3, 1, 6, 7, 9, 12, 13]"
81,"For example , the shell once worn by pilgrims passing through Poitiers on the way to the shrine of St. James is tied to both the coquille St.-Jacques and to the shell logo designed by Raymond Loewy for the Dutch Shell petroleum company .",no_relation,Poitiers,St. James,LOC,PER,81-1,81-2, on the way to the shrine of ,8,"[11, 10, 9, 12, 14, 15, 17, 18, 20]"
82,"It combines bits of art shops and bookstores like Barnes & Noble , Rizzoli , MoMA , Pearl Paint and the Harvard Coop , all together in a wide-open merchandise display .",no_relation,MoMA,Harvard Coop,LOC,ORG,82-1,82-2," , Pearl Paint and the ",3,"[15, 9, 18, 22]"
84,"He shot and missed a fallaway 10-footer , Bramlett missed a tip-in and Jefferson put up an 8-foot air ball as the buzzer sounded .",no_relation,Bramlett,Jefferson,PER,PER,84-1,84-2, missed a tip-in and ,3,"[8, 9, 16, 15]"
85,"On a separate issue with Iran , Mr. Bush signaled that the country 's new president , Mahmoud Ahmadinejad , would be granted a visa in order to attend the annual United Nations summit meeting in New York in September -- despite questions about what role he may have played in the 1979 hostage standoff at the United States Embassy in Tehran .",no_relation,United States,Tehran,LOC,LOC,85-1,85-2, Embassy in ,3,"[58, 59, 60, 61]"
86,"Paolo Pecchioli sang Gaudenzio 's music heftily , and Gary Lehman was a solid Bruschino .",no_relation,Paolo Pecchioli,Gary Lehman,PER,PER,86-1,86-2," sang Gaudenzio 's music heftily , and ",3,"[1, 2, 11, 10]"
87,"More than 100 government agencies in New York City and Westchester County receive Power Authority power , some of which is generated by its Charles Poletti Power Plant in Astoria , Queens .",no_relation,New York City,Westchester County,PER,LOC,87-1,87-2, and ,1,"[8, 11]"
88,"Mr. Sabini , 45 , served in the City Council for 10 years and also served briefly in the 1980 's as chairman of the Queens Democratic Party organization .",served,Mr. Sabini,City Council,PER,MISC,88-1,88-2," , 45 , served in the ",3,"[1, 5, 6, 9]"
89,"Dr. Cournand , who had joined the faculty at Physicians and  Surgeons in 1935 , retired in 1964 but continued as a special lecturer until his final illness .",joined faculty,Dr. Cournand,Physicians and  Surgeons,PER,ORG,89-1,89-2," , who had joined the faculty at ",5,"[1, 5, 7, 8, 9, 12]"
90,"But while Ms. Meub describes the debate as '' half whimsical , '' at least one debater , Frank Bryan , a professor of political science at the University of Vermont in Burlington , appeared to be in earnest .",no_relation,University of Vermont,Burlington,ORG,LOC,90-1,90-2, in ,4,"[30, 29, 28, 31, 32]"
91,"Besides his son Jaime , of Queens , he is survived by his wife , the former Carmen Inoa ; three sisters , Aurora Vazquez of Manhattan , Amelia Vazquez of San Juan , P.R. , and Carmen Morgan of Vero Beach , Fla. , and another son , Miguel , also of Queens .",no_relation,Amelia Vazquez,San Juan,PER,LOC,91-1,91-2, of ,2,"[29, 30, 32]"
92,"But unlike Osama bin Laden and Saddam Hussein , he lives in plain sight -- in Moscow , under the apparent protection of a post-Communist system that has profited from his activities as much as he has .",no_relation,Moscow,post-Communist,LOC,MISC,92-1,92-2," , under the apparent protection of a ",6,"[16, 15, 18, 21, 22, 27, 26]"
93,"George Raptis , M.D. , Treas.",no_relation,George Raptis,Treas.,PER,LOC,93-1,93-2," , M.D. , ",1,"[1, 6]"
94,"Mr. Rushdie 's novel , which is considered blasphemous to many Muslims and for which Ayatollah Ruhollah Khomeini of Iran called for the author 's death , was not in the window , but other books from Viking Penguin , Mr. Rushdie 's publishers , were on display .",no_relation,Muslims,Ayatollah Ruhollah Khomeini,MISC,PER,94-1,94-2, and for which ,5,"[11, 9, 8, 7, 20, 17]"
95,"Moscow has threatened to stop reducing its 7,000-warhead arsenal if Washington breaks out of the A.B.M. Treaty .",no_relation,Moscow,Washington,LOC,LOC,95-1,95-2," has threatened to stop reducing its 7,000-warhead arsenal if ",4,"[0, 2, 4, 11, 10]"
96,"Michelle Fischer , a daughter of Jacqueline and Stanley Fischer of Great Neck , N.Y. , is to be married today to David Kaplan , a son of Lily Kaplan and Joseph Kaplan of New York .",no_relation,Jacqueline,N.Y.,PER,LOC,96-1,96-2," and Stanley Fischer of Great Neck , ",4,"[6, 9, 10, 12, 14]"
97,"'' If you have someone with the name John Smith , there are probably thousands of people , '' Mr. Kobilinsky said .",no_relation,John Smith,Mr. Kobilinsky,NONE,PER,97-1,97-2," , there are probably thousands of people , '' ",7,"[9, 7, 5, 4, 3, 12, 21, 20]"
98,"'' We do n't know what kind of publishing philosophy Warwick Fairfax is going to keep up , '' said Roger Colman , a media analyst for County Securities Australia Ltd. in Sydney .",no_relation,Warwick Fairfax,Roger Colman,PER,PER,98-1,98-2," is going to keep up , '' said ",4,"[11, 13, 4, 19, 21]"
99,"Mr. Gore , who held regular talks with Mr. Chernomyrdin that became an important channel for relations with Russia , declined to comment on the handling of the report .",held regular talks,Mr. Gore,Mr. Chernomyrdin,PER,PER,99-1,99-2," , who held regular talks with ",4,"[1, 4, 6, 7, 9]"
100,"Jacuzzi says it is still in discussions with the S.E.C. , and the commission will not discuss the company .",no_relation,Jacuzzi,S.E.C.,ORG,ORG,100-1,100-2, says it is still in discussions with the ,6,"[0, 1, 3, 5, 6, 7, 9]"
101,"A troupe of Pakistani musicians fresh from a tour of India , an Indian scholar on his way to do research in Islamabad and bearded Muslim holy men going to a wedding in Rawalpindi were also aboard .",no_relation,Pakistani,Indian,LOC,LOC,101-1,101-2," musicians fresh from a tour of India , an ",5,"[3, 4, 2, 1, 14, 13]"
102,"The source of a tip this week that terrorists might strike at the Brooklyn Bridge or the Statue of Liberty was Abu Zubaydah , the highest-ranking Qaeda operative captured since Sept. 11 , a senior law enforcement official said yesterday .",no_relation,Statue of Liberty,Qaeda,LOC,ORG,102-1,102-2," was Abu Zubaydah , the highest-ranking ",10,"[19, 18, 17, 14, 11, 10, 1, 20, 22, 29, 28]"
103,"There were scores by his most famous student , Igor Stravinsky , along with music by Glazunov and Prokofiev -LRB- violin concertos dispatched in sovereign style by Viktor Tretyakov -RRB- , Respighi -LRB- a dark and brooding `` Pines of Rome '' -RRB- , Ravel , Lyadov -LRB- a barn-burning tone poem called `` From the Apocalypse '' -RRB- , Debussy and Messiaen , whose `` Turangalila , '' heard in three extensive excerpts , electrified an audience seemingly unfamiliar with it .",no_relation,Igor Stravinsky,Prokofiev,PER,PER,103-1,103-2," , along with music by Glazunov and ",9,"[10, 7, 12, 13, 14, 15, 16, 21, 20, 18]"
104,"Question : What is the best way of going by train from Oslo to Switzerland , passing through Copenhagen and the Black Forest in West Germany ?",no_relation,Switzerland,West Germany,LOC,LOC,104-1,104-2," , passing through Copenhagen and the Black Forest in ",8,"[14, 13, 8, 16, 17, 18, 22, 23, 25]"
105,"Henry Eugene Manning , a health care administrator who oversaw the groundwork for the creation of New York City 's autonomous Health and Hospitals Corporation , died on Dec. 4 at University Hospitals in Cleveland .",no_relation,Health and Hospitals Corporation,University Hospitals in Cleveland,ORG,MISC,105-1,105-2," , died on Dec. 4 at ",12,"[24, 15, 14, 12, 11, 9, 7, 2, 26, 30, 32, 33, 34]"
106,"John Haynes , the co-author with Harvey Klehr of a forthcoming Soviet history to be published by Yale , said that the intelligence reports show that Mr. Barr and Mr. Sarant '' were among the K.G.B. 's most valuable technical spies . ''",no_relation,John Haynes,Soviet,PER,LOC,106-1,106-2," , the co-author with Harvey Klehr of a forthcoming ",6,"[1, 6, 7, 9, 10, 14, 13]"
107,"The rise of separatist movements in Quebec , Scotland , Wales , Catalonia , Northern Italy and across Europe and elsewhere makes issues like secession more relevant than it might otherwise seem .",no_relation,Quebec,Catalonia,LOC,NONE,107-1,107-2," , Scotland , Wales , ",3,"[6, 8, 10, 12]"
108,"'' I so much love what you write , '' said Mr. Dunne , as he and Mr. Wolff leaned their heads toward each other at identical angles .",no_relation,Mr. Dunne,Mr. Wolff,PER,PER,108-1,108-2," , as he and ",4,"[12, 10, 19, 15, 18]"
